slug,name,fundraisingfox_url,domain,firm_type,hq_city,hq_country,founded_year,stages,sectors,check_min_usd,check_max_usd,check_size_source,leads_rounds,portfolio_count,exit_count,led_rounds
01-advisors,01 Advisors,https://fundraisingfox.com/investors/01-advisors,01a.com,vc,San Francisco,US,2018,Series A; Series B; Series C,AI & Machine Learning; Cybersecurity; Enterprise Software; Fintech; SaaS; Sector Agnostic,1000000,10000000,curated directory,True,28,1,1
01booster,01Booster,https://fundraisingfox.com/investors/01booster,01booster.com,other,,,,,Crypto & Web3,,,,,,,
01booster-capital,01booster Capital,https://fundraisingfox.com/investors/01booster-capital,01bc.vc,venture_studio,Tokyo,JP,,Pre-Seed; Seed; Series A; Series B; Series C; Growth,Sector Agnostic,,,,,,,
01node,01node,https://fundraisingfox.com/investors/01node,01node.com,other,Bucharest,RO,,,Crypto & Web3,,,,,,,
01vc,01vc,https://fundraisingfox.com/investors/01vc,01vc.com,vc,Shanghai,CN,2015,Pre-Seed; Seed; Series A; Late Stage,Advanced Manufacturing; AI & Machine Learning; B2B Marketplaces; E-commerce; Enterprise Software; Fintech; Logistics & Supply Chain; Robotics; SaaS; Semiconductors,,,,,36,0,0
01ventures,01Ventures,https://fundraisingfox.com/investors/01ventures,01ventures.com,vc,,US,2015,,Deep Tech,,,,,3,0,0
0bs,0BS,https://fundraisingfox.com/investors/0bs,0bs.mx,vc,Mexico,MX,,Seed,AI & Machine Learning; Biotech; Consumer; Crypto & Web3; E-commerce; EdTech; Fintech; FoodTech; Healthtech; HR Tech; Logistics & Supply Chain; Mobility & Transportation; PropTech; SaaS,50000,150000,firm website,,3,0,0
0x-labs,0x Labs,https://fundraisingfox.com/investors/0x-labs,0x.org,cvc,,,2017,,Crypto & Web3; Data & Infrastructure; Developer Tools,,,,,,,
0x-ventures,0x Ventures,https://fundraisingfox.com/investors/0x-ventures,0xventures.org,cvc,,,,,Crypto & Web3,,,,,,,
0xcapital,0xCapital,https://fundraisingfox.com/investors/0xcapital,0xcapital.com,vc,,,,Seed; Late Stage,Crypto & Web3,,,,,,,
0xmons,0xmons,https://fundraisingfox.com/investors/0xmons,0xmons.xyz,other,,,,,Crypto & Web3,,,,,,,
