fund_name,manager,firm_slug,fundraisingfox_url,vintage_year,asset_class,sub_strategy,fund_size_usd,net_irr,net_tvpi,net_dpi,returns_as_of
"2024 Golden Bay, L.P.",,,,2025,opportunistic,tactical,,,0.999928,0.0,2025-06-30
25SB Co-Investment Limited Partnership,,,,2025,private_equity,buyout,,,0.99,0.0,2025-06-30
2E Select Credit Master Fund,2E Capital Partners,,,2025,private_credit,,,0.0283,1.03,0.0,2025-09-30
2E Select Credit Offshore Fund,2E Capital Partners,,,2025,private_credit,,,0.0287,1.03,0.0,2025-09-30
400 Capital Asset Based Onshore Term Fund IV LP,,,,2025,private_credit,direct_lending,,0.1083,1.06,0.1052,2025-09-30
"AIPCF VII Aqua Co-Invest, L.P.",,,,2025,private_equity,buyout,,,1.0,0.0,2025-06-30
Altor III Co-Invest,Altor,altor,https://fundraisingfox.com/investors/altor,2025,private_equity,co_investment,,,1.2,,2025-09-30
Antares Credit Opportunities CA LLC - Series 5,Antares,antares-capital,https://fundraisingfox.com/investors/antares-capital,2025,opportunistic,multi_strategy,,,1.04144,0.0056,2025-06-30
Antares Credit Opportunities CA LLC - Series 6,Antares,antares-capital,https://fundraisingfox.com/investors/antares-capital,2025,opportunistic,multi_strategy,,,1.06622,0.0129,2025-06-30
"Arbor Investments VI, L.P.",Arbor Investments,arbor-investments,https://fundraisingfox.com/investors/arbor-investments,2025,private_equity,buyout,,,0.94,0.0,2025-12-31
"Arlington Capital Partners VII, L.P.",,,,2025,private_equity,buyout,,,0.0,0.0,2025-12-31
"Astro Co-invest, L.P.",,,,2025,private_equity,buyout,,,1.0,0.0,2025-06-30
AVP XIV LP,AVP,avp-aglae-ventures,https://fundraisingfox.com/investors/avp-aglae-ventures,2025,private_equity,buyout,,,1.0,0.0,2025-06-30
Bain Capital Beacon Roll SPV XI Private Equity,Bain,bain-capital,https://fundraisingfox.com/investors/bain-capital,2025,private_credit,direct_lending,,,1.0,1.0,2025-03-31
