company_slug,company_name,fundraisingfox_url,domain,announced_on,stage,round_label,amount_usd,amount_is_floor,basis
seed,Seed,https://fundraisingfox.com/companies/seed,seed.co,2026-08-20,Pre-Seed,pre-Seed round,,False,press
energy,Energy,https://fundraisingfox.com/companies/energy,energy.gov,2026-08-19,Growth,Series G,,False,press
epiwatch,Epiwatch,https://fundraisingfox.com/companies/epiwatch,epiwatch.com,2026-08-19,,,,True,sec_filing
fractile-2,Fractile,https://fundraisingfox.com/companies/fractile-2,fractile.com,2026-08-19,,,600000000,False,press
rillet,Rillet,https://fundraisingfox.com/companies/rillet,rillet.com,2026-08-19,Series C,Series C,,False,press
rivian,Rivian,https://fundraisingfox.com/companies/rivian,rivian.com,2026-08-19,Growth,Series D,150000000,False,press
stores,Stores,https://fundraisingfox.com/companies/stores,stores.jp,2026-08-19,Series B,Series B,,False,press
thunder-compute,Thunder Compute,https://fundraisingfox.com/companies/thunder-compute,thundercompute.com,2026-08-19,Series A,Series A,,False,press
tytl,Tytl,https://fundraisingfox.com/companies/tytl,,2026-08-19,,,,True,sec_filing
boom-10,Boom,https://fundraisingfox.com/companies/boom-10,boompay.app,2026-08-18,Series A,Series A,,False,press
crescel,Crescel,https://fundraisingfox.com/companies/crescel,,2026-08-18,,,1100000,True,sec_filing
decart,Decart,https://fundraisingfox.com/companies/decart,decart.ai,2026-08-18,Series B,Series B,,False,press
grounded,Grounded,https://fundraisingfox.com/companies/grounded,grounded.co.uk,2026-08-18,Seed,seed round,,False,press
grounded,Grounded,https://fundraisingfox.com/companies/grounded,grounded.co.uk,2026-08-18,,,5000000,False,press
gulf-sterilization,Gulf Sterilization,https://fundraisingfox.com/companies/gulf-sterilization,gulfsterilization.com,2026-08-17,,,367000,True,sec_filing
opus-6,Opus,https://fundraisingfox.com/companies/opus-6,opus.pro,2026-08-17,Growth,Series H,,False,press
round-2,round,https://fundraisingfox.com/companies/round-2,afr.com,2026-08-17,Seed,seed round,,False,press
startup-daily,Startup Daily,https://fundraisingfox.com/companies/startup-daily,startupdaily.net,2026-08-17,Seed,Seed,,False,press
terra-8,Terra,https://fundraisingfox.com/companies/terra-8,,2026-08-17,Seed,seed round,,False,press
terraindustries,Terra Industries,https://fundraisingfox.com/companies/terraindustries,terraindustries.co,2026-08-17,Seed,seed round,,False,press
apollomics,Apollomics,https://fundraisingfox.com/companies/apollomics,,2026-08-14,,,10000000,True,sec_filing
