vintage_year,funds,median_net_irr,median_net_tvpi,median_net_dpi
2025,103,0.0100,1.00,0.00
2024,358,0.0904,1.05,0.00
2023,372,0.1410,1.14,0.01
2022,414,0.1080,1.17,0.02
2021,481,0.0960,1.23,0.11
2020,430,0.1031,1.30,0.25
2019,380,0.1240,1.40,0.38
2018,349,0.1290,1.49,0.59
2017,286,0.1401,1.63,0.85
2016,287,0.1310,1.64,0.98
2015,332,0.1291,1.65,1.09
2014,310,0.0990,1.58,1.16
2013,244,0.1075,1.49,1.28
2012,241,0.1183,1.66,1.41
2011,222,0.1185,1.66,1.49
2010,171,0.1010,1.55,1.38
2009,122,0.1065,1.59,1.36
2008,279,0.1050,1.56,1.39
2007,278,0.0756,1.40,1.32
2006,306,0.0721,1.46,1.38
2005,228,0.0530,1.34,1.29
2004,145,0.0830,1.49,1.41
2003,88,0.0851,1.54,1.42
2002,65,0.1213,1.54,1.37
2001,103,0.1230,1.64,1.53
2000,92,0.0744,1.50,1.39
